Country,Country-Code,ISO-Code,FAOCou-Code,ContinentOld,Income,Domain,ContinentNew,MagnetCou-Code,MagnetRegion,Carbon region,ContinentValidation
Pakistan,l2,PAK,165,Asia,LM,SubTrp,Asia,PAK,RestAsia,South and Southeast Asia,Asia
Philippines,l3,PHL,171,Asia,LM,Trp,Asia,PHL,RestAsia,South and Southeast Asia,Asia
Qatar,l4,QAT,179,Asia,H,SubTrp,Asia,QAT,MENA,Western and Central Asia,Africa
Saudi Arabia,l5,SAU,194,Asia,H,Trp,Asia,SAU,MENA,Western and Central Asia,Africa
Singapore,l6,SGP,200,Asia,H,Trp,Asia,SGP,RestAsia,South and Southeast Asia,Asia
Sri Lanka,l7,LKA,38,Asia,LM,Trp,Asia,LKA,RestAsia,South and Southeast Asia,Asia
Syrian Arab Republic,l8,SYR,212,Asia,LM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
Thailand,l9,THA,216,Asia,UM,Trp,Asia,THA,RestAsia,South and Southeast Asia,Asia
Turkey,m0,TUR,223,Asia,UM,SubTrp,Asia,TUR,RestofWorld,Western and Central Asia,Africa
United Arab Emirates,m1,ARE,225,Asia,H,Trp,Asia,ARE,MENA,Western and Central Asia,Africa
Viet Nam,m2,VNM,237,Asia,LM,Trp,Asia,VNM,RestAsia,South and Southeast Asia,Asia
Yemen,m3,YEM,249,Asia,LM,Trp,Asia,xws,MENA,Western and Central Asia,Africa
Australia,m4,AUS,10,Oceania,H,SubTrp,Oceania,AUS,aus,Oceania,Asia
Cook Islands,m5,COK,47,Oceania,NotaNr,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Fiji Islands,m6,FJI,66,Oceania,UM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
French Polynesia,m7,PYF,70,Oceania,H,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
New Caledonia,m8,NCL,153,Oceania,H,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
New Zealand,m9,NZL,156,Oceania,H,Temp,Oceania,NZL,nzl,Oceania,Asia
Papua New Guinea,n0,PNG,168,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Samoa,n1,WSM,244,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Solomon Islands,n2,SLB,25,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Tonga,n3,TON,219,Oceania,UM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Vanuatu,n4,VUT,155,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Albania,n5,ALB,3,Europe,UM,SubTrp,Europe,ALB,RestofWorld,Europe,Europe
Austria,n6,AUT,11,Europe,H,Temp,Europe,AUT,RestEU,Europe,Europe
Belgium,n7,BEL,255,Europe,H,Temp,Europe,BEL,RestEU,Europe,Europe
Bosnia and Herzegovina,n8,BIH,80,Europe,UM,Temp,Europe,xer,RestofWorld,Europe,Europe
Bulgaria,n9,BGR,27,Europe,UM,Temp,Europe,BGR,RestEU,Europe,Europe
Croatia,o0,HRV,98,Europe,H,Temp,Europe,HRV,RestofWorld,Europe,Europe
Czech Republic,o1,CZE,167,Europe,H,Temp,Europe,CZE,RestEU,Europe,Europe
Denmark,o2,DNK,54,Europe,H,Temp,Europe,DNK,RestEU,Europe,Europe
Finland,o3,FIN,67,Europe,H,Bor,Europe,FIN,RestEU,Europe,Europe
France,o4,FRA,68,Europe,H,Temp,Europe,FRA,fra,Europe,Europe
Germany,o5,DEU,79,Europe,H,Temp,Europe,DEU,deu,Europe,Europe
Greece,o6,GRC,84,Europe,H,SubTrp,Europe,GRC,RestEU,Europe,Europe
Hungary,o7,HUN,97,Europe,UM,Temp,Europe,HUN,RestEU,Europe,Europe
Luxembourg,o8,LUX,256,Europe,H,Temp,Europe,LUX,RestEU,Europe,Europe
Ireland,o9,IRL,104,Europe,H,Temp,Europe,IRL,RestEU,Europe,Europe
Italy,p0,ITA,106,Europe,H,SubTrp,Europe,ITA,RestEU,Europe,Europe
"Macedonia,The Fmr Yug Rp",p1,MKD,154,Europe,UM,Temp,Europe,xer,RestofWorld,Europe,Europe
Montenegro,p2,MNE,273,Europe,UM,SubTrp,Europe,xer,RestofWorld,Europe,Europe
Netherlands,p3,NLD,150,Europe,H,Temp,Europe,NLD,RestEU,Europe,Europe
Norway,p4,NOR,162,Europe,H,Bor,Europe,NOR,RestofWorld,Europe,Europe
Poland,p5,POL,173,Europe,H,Temp,Europe,POL,pol,Europe,Europe
Portugal,p6,PRT,174,Europe,H,SubTrp,Europe,PRT,RestEU,Europe,Europe
Romania,p7,ROU,183,Europe,UM,Temp,Europe,ROU,RestEU,Europe,Europe
Slovakia,p8,SVK,199,Europe,H,Temp,Europe,SVK,RestEU,Europe,Europe
Slovenia,p9,SVN,198,Europe,H,Temp,Europe,SVN,RestEU,Europe,Europe
Spain,q0,ESP,203,Europe,H,SubTrp,Europe,ESP,RestEU,Europe,Europe
Sweden,q1,SWE,210,Europe,H,Bor,Europe,SWE,RestEU,Europe,Europe
Switzerland,q2,CHE,211,Europe,H,Temp,Europe,CHE,RestofWorld,Europe,Europe
United Kingdom,q3,GBR,229,Europe,H,Temp,Europe,GBR,uk,Europe,Europe
Serbia,q4,SRB,272,Europe,UM,Temp,Europe,xer,RestofWorld,Europe,Europe
Armenia,q5,ARM,1,Former USSR,LM,SubTrp,Asia,ARM,RestCIS,Western and Central Asia,Former Soviet Union
"Azerbaijan, Republic of",q6,AZE,52,Former USSR,UM,Temp,Asia,AZE,RestCIS,Western and Central Asia,Former Soviet Union
Belarus,q7,BLR,57,Former USSR,UM,Temp,Europe,BLR,RestCIS,Europe,Europe
Estonia,q8,EST,63,Former USSR,H,Temp,Europe,EST,RestEU,Europe,Europe
Georgia,q9,GEO,73,Former USSR,LM,SubTrp,Asia,GEO,RestofWorld,Western and Central Asia,Former Soviet Union
Kazakhstan,r0,KAZ,108,Former USSR,UM,Temp,Asia,KAZ,RestCIS,Western and Central Asia,Former Soviet Union
Kyrgyzstan,r1,KGZ,113,Former USSR,LM,Temp,Asia,KGZ,RestCIS,Western and Central Asia,Former Soviet Union
Latvia,r2,LVA,119,Former USSR,H,Temp,Europe,LVA,RestEU,Europe,Europe
Lithuania,r3,LTU,126,Former USSR,H,Temp,Europe,LTU,RestEU,Europe,Europe
"Moldova, Republic of",r4,MDA,146,Former USSR,LM,Temp,Europe,xee,RestCIS,Europe,Europe
Russian Federation,r5,RUS,185,Former USSR,H,Bor,Asia,RUS,rus,Russian Federation,Former Soviet Union
Tajikistan,r6,TJK,208,Former USSR,L,Temp,Asia,xsu,RestCIS,Western and Central Asia,Former Soviet Union
Turkmenistan,r7,TKM,213,Former USSR,UM,Temp,Asia,xsu,RestCIS,Western and Central Asia,Former Soviet Union
Ukraine,r8,UKR,230,Former USSR,LM,Temp,Europe,UKR,ukr,Europe,Europe
Uzbekistan,r9,UZB,235,Former USSR,LM,Temp,Asia,xsu,RestCIS,Western and Central Asia,Former Soviet Union
Rest of World,zy,WRL,0,World,M,All,World,WRL,WRL,World,Rest of World
